Name,Email,Financial Status,Paid at,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Lineitem quantity,Lineitem name,Lineitem price,Lineitem sku,Billing Name,Billing City,Billing Province,Billing Zip,Billing Country,Shipping Name,Shipping City,Shipping Province,Shipping Zip,Shipping Country
#JC1001,danielle.johnson@yahoo.com,refunded,,USD,34.99,0.0,2.73,37.72,,0.0,1,Cold Brew Kit,34.99,cold-brew-kit,Danielle Johnson,East Donald,NY,13935,US,Danielle Johnson,East Donald,NY,13935,US
#JC1001,danielle.johnson@yahoo.com,refunded,,USD,49.98,9.99,3.05,63.02,,0.0,2,Original Concentrate 6oz,24.99,original-concentrate-6oz,Danielle Johnson,East Donald,NY,13935,US,Danielle Johnson,East Donald,NY,13935,US
#JC1002,erica.mcclain@gmail.com,paid,2025-08-26T00:48:51-06:00,USD,54.99,7.99,5.08,68.06,,0.0,1,Original Concentrate 18oz,54.99,original-concentrate-18oz,Erica Mcclain,Johnsonland,NJ,29158,US,Erica Mcclain,Johnsonland,NJ,29158,US
#JC1003,jesse.guzman@hotmail.com,paid,2025-08-26T01:46:29-05:00,USD,26.99,5.99,2.3,35.28,,0.0,1,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Jesse Guzman,Lake Debra,WA,71927,US,Jesse Guzman,Lake Debra,WA,71927,US
#JC1004,robert.cole@yahoo.com,paid,2025-01-08T09:05:54-06:00,USD,26.99,7.99,2.3,37.28,,0.0,1,Caramel Concentrate 6oz,26.99,caramel-concentrate-6oz,Robert Cole,Port Lindachester,WA,45098,US,Robert Cole,Port Lindachester,WA,45098,US
#JC1005,joshua.lewis@yahoo.com,paid,2025-09-03T19:40:10-06:00,USD,44.99,0.0,2.77,47.76,,0.0,1,Starter Kit,44.99,starter-kit,Joshua Lewis,North Noahstad,WA,45583,US,Joshua Lewis,North Noahstad,WA,45583,US
#JC1006,cassandra.roman@hotmail.com,paid,2025-01-11T12:17:04-06:00,USD,26.99,7.99,1.54,36.52,,0.0,1,Vanilla Concentrate 6oz,26.99,vanilla-concentrate-6oz,Cassandra Roman,Herrerafurt,MD,10829,US,Cassandra Roman,Herrerafurt,MD,10829,US
#JC1006,cassandra.roman@hotmail.com,paid,2025-01-11T12:17:04-06:00,USD,53.98,7.99,4.72,66.69,,0.0,2,Caramel Concentrate 6oz,26.99,caramel-concentrate-6oz,Cassandra Roman,Herrerafurt,MD,10829,US,Cassandra Roman,Herrerafurt,MD,10829,US
#JC1007,andrea.calderon@hotmail.com,paid,2025-06-19T12:23:14-06:00,USD,19.99,9.99,1.3,28.28,SUMMER15,3.0,1,Travel Mug,19.99,travel-mug,Andrea Calderon,Barbaraland,FL,06507,US,Andrea Calderon,Barbaraland,FL,06507,US
#JC1007,andrea.calderon@hotmail.com,paid,2025-06-19T12:23:14-06:00,USD,164.97,0.0,11.78,152.0,SUMMER15,24.75,3,Original Concentrate 18oz,54.99,original-concentrate-18oz,Andrea Calderon,Barbaraland,FL,06507,US,Andrea Calderon,Barbaraland,FL,06507,US
#JC1008,donna.mejia@gmail.com,paid,2025-02-18T08:49:41-07:00,USD,74.97,5.99,5.65,86.61,,0.0,3,Original Concentrate 6oz,24.99,original-concentrate-6oz,Donna Mejia,Port Craig,AZ,36935,US,Donna Mejia,Port Craig,AZ,36935,US
#JC1009,shawn.flowers@gmail.com,paid,2025-02-21T09:53:40-06:00,USD,44.99,9.99,2.29,57.27,,0.0,1,Starter Kit,44.99,starter-kit,Shawn Flowers,Michaelview,LA,92489,US,Shawn Flowers,Michaelview,LA,92489,US
#JC1010,sharon.wong@hotmail.com,paid,2025-12-29T09:15:03-06:00,USD,26.99,9.99,1.84,30.72,FLASH30,8.1,1,Mocha Concentrate 6oz,26.99,mocha-concentrate-6oz,Sharon Wong,New Jessica,FL,21918,US,Sharon Wong,New Jessica,FL,21918,US
#JC1011,steven.nelson@hotmail.com,paid,2025-03-17T19:27:13-06:00,USD,26.99,5.99,1.71,29.29,SUBSCRIBE20,5.4,1,Caramel Concentrate 6oz,26.99,caramel-concentrate-6oz,Steven Nelson,Lake Mark,WA,07832,US,Steven Nelson,Lake Mark,WA,07832,US
